JA-JP,EN-US,translated_EN_llama_70B,translated_t5
この属性は、情報メッセージを指定します。,This attribute specifies an informational message.,"""This attribute specifies an information message.""",This attribute specifies the information message.
最後になりますが、ワークフォース トランスフォーメーションの取り組みを継続して進めるうえで、トランスフォーメーション プロセスと経験について、自分たちのチーム メンバーから話を聞くのは良いことです。これは、私たちが皆様から教わったことでした。,"Finally, as we continue to progress through our workforce transformation journey, you have told us that it’s good to hear from our very own team members on their transformational journey and experience.","Here is the translation:

""Finally, as we continue to push forward with our Workforce Transformation efforts, it's a good thing to hear from our team members about their experiences and the transformation process. This is something we have learned from all of you.""",It's good to hear from our team members about the transition process and experience in order to continue working on the work force transition. That's what we've learned from you.
ストレージ レイテンシー グラフの任意の場所をクリックすると、ページの上部に表示されるプロパティ リストもアップデートされます。,"When you click anywhere in the Storage Latency graph, the property list that is displayed at the top of the page is also updated.","""When you click on any part of the Storage Latency Graph, the property list displayed at the top of the page will also be updated.""","If you click on any location of the storage latency graph, the property list will also be updated at the top of the page."
修理中はコンピューター ディスプレイへの偶発的な破損を防ぐため、スタンドを取り外しておくことをお勧めします。,It is recommended to remove the stand to avoid accidental damage to the computer display during servicing.,"Here is the translation:

""When repairing, we recommend removing the stand to prevent accidental damage to the computer display.""",It is recommended that the stand be removed during repairs so as to prevent accidental damage to the computer display.
このデジタル トランスフォーメーションは、運用モデルの変更に伴い、お客様のビジネスのあり方を大きく変えています。,This digital transformation is driving the way our customers are looking at their businesses as they are changing their operation models.,"""This digital transformation is greatly changing the way your business operates, accompanying a change in the operational model.""",This digital transfer has changed the customer's business a lot with the change in operating models.
ビジネス上の問題点の説明を理解する必要があります。,We need to understand the business problem statements.,"""It is necessary to understand the explanation of business-related problems.""",You need to understand the description of the business problem.
ビデオ コントローラー情報を表示します。,Displays the video controller information.,"""Displays video controller information.""",Show video controller information.
のSupportウィンドウのEmail Setupページでは、ローカル ユーザー パスワードのリセットとアラート通知のカスタマイズに関連するEメールの送受信を制御するSMTP Eメール サーバー設定を構成できます。,The Email Setup page of the Support window enables you to configure SMTP email server settings that control sending and receiving email related to resetting local user passwords and customizing alert notifications.,"Here is the translation:

""On the Email Setup page of the Support Window, you can configure the SMTP email server settings to control the sending and receiving of emails related to resetting local user passwords and customizing alert notifications.""","The ""Email Setup"" page in the Superport window contains the SMTP email server configuration that controls the emailing and receiving of local user passwords and customizations for user notifications."
ストレージ スレッドが、電源が入っているコンピュートスレッドに割り当てられる場合、入出力の中断を引き起こします。,"The storage sled, if assigned to compute sleds that are powered on, causes I/O disruption.","Here is the translation:

""When a storage thread is assigned to a compute thread with power on, it causes I/O interruptions.""","If the storage thread is assigned to a complex thread that has power in it, it will cause an interruption in the output."
デル・テクノロジーズは、ビジネスが人々や地球環境に与える影響を低減するため、製品の修理、再利用、リサイクルが簡単になるよう、サーキュラー デザインの原則を導入しています。,"To reduce the impact of our business on people and the planet, Dell Technologies implement circular design principles to make our products easy to repair, reuse, and recycle.","Here is the translation:

""Dell Technologies is introducing the principles of circular design to make it easier to repair, reuse, and recycle products, thereby reducing the impact of business on people and the Earth's environment.""","Dell Technologies has introduced the principle of physical design in order to reduce the impact of business on people and the environment, making it easier for product repair, recycling, and recycling."
それぞれ最大220ワットまでGold-6、Gold-5、Silverをサポートしています,"You get support for Gold-6, Gold-5, Silver, up to 220 watts across them.","Here is the translation:

""Supporting up to 220 watts maximum each for Gold-6, Gold-5, and Silver.""","It's a little bit more complicated than that, but it's a little bit more complicated than that."
まずは、OSの下を詳しく掘り下げて、顕著なサイバー犯罪のシナリオを設定し、Dellビジネス向けデバイスに組み込まれているツールを評価しましょう。,Let’s start by diving below the OS and assessing our “tools” built into our Dell commercial devices by setting up the scene of an eminent cybercrime.,"Here is the translation:

""First, let's thoroughly investigate the OS's underlying structure, set up a scenario for prominent cybercrime, and evaluate the tools embedded in Dell business devices.""","First, dig deeper under the OS, set up an outstanding cyber-crime scenario, and evaluate the tools that are built into the device for Dell Business."
リモート ホストがこのホストへの直接リカバリーを許可されるかどうかを決定します。,Determines whether remote hosts are allowed to direct recoveries to this host.,"""Determines whether the remote host allows direct recovery to this host.""",Whether remote hosts will be allowed directly to this host.
Dellモバイル シン クライアントでは、サービス タグ ラベルは背面カバーに貼付されています。,"On Dell mobile thin clients, the Service Tag label is located on the back cover.","Here is the translation:

""On Dell Mobile Sync Client, the service tag label is affixed to the back cover.""",The DellMobile Sin Client has a service tag label attached to the back cover.
クラウド管理者は、アカウントのアクティブ化Eメールを受信し、コンソールにアクセスします（下の画像を参照）。,The Cloud Administrator receives an Activate Account email and enters the console (see photo below).,"Here is the translation:

""The cloud administrator receives an account activation email and accesses the console (refer to the image below).""",The cloud administrator receives e-mail that activates the account and accesss the console.) (See images below.)
十分な列幅がある場合は長い列見出しが表示され、列幅が十分ではない場合は短い列見出しが表示されます。,"When the column width is wide enough, the long column heading is displayed; otherwise, the short heading is displayed.","Here is the translation:

""If there is sufficient column width, a long column header will be displayed, and if there is not sufficient column width, a short column header will be displayed.""","If there's enough column width, you'll see a long column heading and a short column heading if there's not enough column width."
eDPケーブルをディスプレイ背面カバーに固定するテープを貼り付けます。,Adhere the tape to securing the eDP cable to the display back cover.,"""We will attach a tape to fix the eDP cable to the back cover of the display.""",Paste the tape to hold the eDP cable to the display back cover.
すべてのアプリケーションに管理オプションがあるわけではありません。,Not every application has a management option.,"""Not all applications have management options.""",Not all applications have administrative options.
14G以降では、より高いワット数オプションが利用可能になります。,Higher wattage options will be available with 14G and above.,"From 14G onwards, higher wattage options will become available.",A higher watt number option will be available after 14G.
Linuxでは、論理デバイスを動的に追加し、削除できます。,"On Linux, logical devices can be dynamically added and removed.","On Linux, you can dynamically add and remove logical devices.","In Linux, you can automatically add and remove logic devices."
